top	num
S1	10960966
S2	8480672
S3	8936293
S4	16581941
S5	10133902
S7	7742383
S8	6285481
S9	13299652
S10	13211068
S11	10154933
S12	14245821
S13	25405721
S14	12266534
S15	10992430
S16	11163038
S17	14114454
S18	15433793
S19	18903710
S20	23549387
S21	42528024
S22	13653023
S23	30807128
S24	28904739
S25	14523124
S26	13118139
S27	10761549
S28	49797077
S29	24615485
S30	11164408
S31	10947620
S32	9062375
S33	9705892
S34	13184459
S35	24603316
S36	15086329
S37	12072659
S38	12261008
S39	11009328
S40	75881121
S41	15534309
S42	14070833
S43	18034086
S44	14239591
S45	34714159
S46	19558030
S47	9207570
S48	29333982
S49	21735134
S50	14691595
S51	30906635
S52	58605401
S53	12521183
S54	11998031
S56	14595128
S57	16098682
S58	32219232
S59	30741149
S60	24283057
S61	16826121
S62	7262302
S63	15067518
S64	6200421
S65	20160702
S66	18159174
S67	12300232
S69	21632218
S70	18860369
S71	19054830
S72	68423472
S73	16016577
S74	7508727
S75	17307324
S76	26156023
S77	11962812
S78	12942505
S79	11108520
S80	3268153
S81	7946583
S82	13869420
S83	12953853
S84	26788970
S85	15013780
S86	30464154
S87	20632650
S88	7729348
S89	33541908
S90	17877090
S91	14232839
S92	57243962
S93	33220757
S94	29703844
S95	12138814
S96	17572424
S97	6193258
S98	13583150
S99	12213574
S100	8279971
S101	9567229
S102	13822469
S103	48755448
S104	4836278
S105	5452519
S106	26808697
S107	22346220
S108	5215360
S109	39260814
S110	49476499
S111	15232356
S112	15144973
S113	35476951
S114	44676929
S115	500150
S116	14113546
S117	22529898
S118	15448068
S119	16238254
S120	18598572
S121	11626854
S122	12386022
S123	13764770
S124	15259294
S125	15301196
S126	7409952
S127	18577006
S128	9072398
S129	15915159
S130	13705097
S131	21957784
S132	15985346
S133	9650057
S134	9001200
S135	4544786
S136	37153047
S137	21288691
S138	6739694
S139	11892168
S140	9239424
S141	9282608
S142	11302776
S143	33152353
S144	41811735
S145	8864422
S146	5908343
S147	11151732
S148	20403145
S149	10531126
S150	15486867
S151	12183805
S152	11542616
S153	9832098
S154	9651081
S155	13816078
S156	35565289
S157	15486843
S158	14321753
S159	12620384
S160	19351298
S161	11615369
S162	21544801
S163	11419248
S164	16532272
S165	19464932
S166	13894962
S167	13741478
S168	54007432
S169	20979487
S170	16013107
S171	13528201
S172	18860979
S173	17196274
S174	17875063
S176	9255601
S177	13823199
S178	14326048
S179	12604219
S180	14127449
S181	21941290
S182	17116765
S183	17245236
S184	23351977
S185	18176624
S186	16063539
S187	20467633
S188	19091040
S189	23505563
S190	20618549
S191	21463869
S192	15147437
