Order	Family	Regalado	Load	Roger	NA	alpha1	alpha2	PseudoSphingo	Load2
Fungi	Ceratobasidiaceae	#52250D	#000000	#52250D	#000000	1	1	#000000	#000000
Fungi	Pleosporaceae	#f922b9	#000000	#f922b9	#000000	1	1	#000000	#000000
Fungi	Didymellaceae	#32fff4	#000000	#32fff4	#000000	1	1	#000000	#000000
Fungi	Protomycetaceae	#1F78B4	#000000	#1F78B4	#000000	1	1	#000000	#000000
Fungi	Leucosporidiaceae	#FB9A99	#000000	#FB9A99	#000000	1	1	#000000	#000000
Fungi	Verrucariaceae	#FDBF6F	#000000	#FDBF6F	#000000	1	1	#000000	#000000
Fungi	Mycosphaerellaceae	#E31A1C	#000000	#E31A1C	#000000	1	1	#000000	#000000
Fungi	Nectriaceae	#6A3D9A	#000000	#6A3D9A	#000000	1	1	#000000	#000000
Fungi	Massarinaceae	#CAB2D6	#000000	#CAB2D6	#000000	1	1	#000000	#000000
Fungi	Herpotrichiellaceae	#FF7F00	#000000	#FF7F00	#000000	1	1	#000000	#000000
Fungi	Phaeosphaeriaceae	#FFFF99	#000000	#FFFF99	#000000	1	1	#000000	#000000
Fungi	Helotiaceae	#B6FF00	#000000	#B6FF00	#000000	1	1	#000000	#000000
Fungi	Dermateaceae	#B3B3B3	#000000	#B3B3B3	#000000	0.3	1	#000000	#000000
Fungi	Sordariaceae	#8DD3C7	#000000	#8DD3C7	#000000	0.3	1	#000000	#000000
Fungi	Cladosporiaceae	#f922b9	#000000	#f922b9	#000000	0.3	1	#000000	#000000
Fungi	Aspergillaceae	#32fff4	#000000	#32fff4	#000000	0.3	1	#000000	#000000
Fungi	Cucurbitariaceae	#1F78B4	#000000	#1F78B4	#000000	0.3	1	#000000	#000000
Fungi	Leptosphaeriaceae	#FB9A99	#000000	#FB9A99	#000000	0.3	1	#000000	#000000
Fungi	Microdochiaceae	#FDBF6F	#000000	#FDBF6F	#000000	0.3	1	#000000	#000000
Fungi	Glomerellaceae	#E31A1C	#000000	#E31A1C	#000000	0.3	1	#000000	#000000
Fungi	Didymosphaeriaceae	#6A3D9A	#000000	#6A3D9A	#000000	0.3	1	#000000	#000000
Fungi	Cyphellophoraceae	#CAB2D6	#000000	#CAB2D6	#000000	0.3	1	#000000	#000000
Fungi	Orbiliaceae	#FF7F00	#000000	#FF7F00	#000000	0.3	1	#000000	#000000
Fungi	Teratosphaeriaceae	#FFFF99	#000000	#FFFF99	#000000	0.3	1	#000000	#000000
Fungi	Sporidiobolaceae	#A6CEE3	#000000	#A6CEE3	#000000	0.3	1	#000000	#000000
Fungi	Spizellomycetaceae	#7FC97F	#000000	#7FC97F	#000000	0.3	1	#000000	#000000
Fungi	Clavicipitaceae	#BEAED4	#000000	#BEAED4	#000000	0.3	1	#000000	#000000
Fungi	Serendipitaceae	#FDC086	#000000	#FDC086	#000000	0.3	1	#000000	#000000
Fungi	Mortierellaceae	#FFFF99	#000000	#FFFF99	#000000	0.3	1	#000000	#000000
Fungi	Chaetomiaceae	#386CB0	#000000	#386CB0	#000000	0.3	1	#000000	#000000
Fungi	Erysiphaceae	#F0027F	#000000	#F0027F	#000000	0.3	1	#000000	#000000
Fungi	Sporocadaceae	#BF5B17	#000000	#BF5B17	#000000	0.3	1	#000000	#000000
Fungi	Lasiosphaeriaceae	#666666	#000000	#666666	#000000	0.3	1	#000000	#000000
Fungi	Mrakiaceae	#1B9E77	#000000	#1B9E77	#000000	0.3	1	#000000	#000000
Fungi	Taphrinaceae	#D95F02	#000000	#D95F02	#000000	0.3	1	#000000	#000000
Fungi	Stachybotryaceae	#7570B3	#000000	#7570B3	#000000	0.3	1	#000000	#000000
Fungi	Tremellaceae	#E7298A	#000000	#E7298A	#000000	0.3	1	#000000	#000000
Fungi	Mucoraceae	#66A61E	#000000	#66A61E	#000000	0.3	1	#000000	#000000
Bacteria	Sphingomonadaceae	#de2e26	#000000	#de2e26	#de2e26	1	1	#de2e26	#000000
Bacteria	Pseudomonadaceae	#3182BD	#000000	#3182BD	#3182BD	1	1	#3182BD	#000000
Bacteria	Sphingobacteriaceae	#a5d1c8	#000000	#43bda0	#a5d1c8	1	1	#000000	#000000
Bacteria	Oxalobacteraceae	#9f5f2e	#000000	#9f5f2e	#9f5f2e	1	1	#000000	#000000
Bacteria	Hymenobacteraceae	#d8853a	#000000	#d8853a	#d8853a	1	1	#000000	#000000
Bacteria	Flavobacteriaceae	#ad84bc	#000000	#C70039	#ad84bc	1	1	#000000	#000000
Bacteria	Cytophagaceae	#5f4298	#000000	#5f4298	#5f4298	1	1	#000000	#000000
Bacteria	Comamonadaceae	#dd9e99	#000000	#DBB6B3	#dd9e99	1	1	#000000	#000000
Bacteria	Microbacteriaceae	#6e9d35	#000000	#6e9d35	#6e9d35	1	1	#000000	#000000
Bacteria	Methylobacteriaceae	#b2cde2	#000000	#b2cde2	#b2cde2	1	1	#000000	#000000
Bacteria	Rhizobiaceae	#FF7F00	#000000	#FFBA26	#000000	0.3	1	#000000	#000000
Bacteria	Aeromonadaceae	#CCEBC5	#000000	#08A5FF	#000000	0.3	1	#000000	#000000
Bacteria	Nocardioidaceae	#FFFF99	#000000	#FFFF99	#000000	0.3	1	#000000	#000000
Bacteria	Caulobacteraceae	#A6CEE3	#000000	#303B96	#000000	0.3	1	#000000	#000000
Bacteria	Hyphomicrobiaceae	#000000	#000000	#D790FF	#000000	0.3	1	#000000	#000000
Bacteria	Aurantimonadaceae	#ffff00	#000000	#F8F18C	#000000	0.3	1	#000000	#000000
Bacteria	Bradyrhizobiaceae	#f922b9	#000000	#f922b9	#000000	0.3	1	#000000	#000000
Bacteria	Chitinophagaceae	#32fff4	#000000	#32fff4	#000000	0.3	1	#000000	#000000
Bacteria	Micromonosporaceae	#1F78B4	#000000	#1F78B4	#000000	0.3	1	#000000	#000000
Bacteria	Xanthomonadaceae	#FB9A99	#000000	#FB9A99	#000000	0.3	1	#000000	#000000
Bacteria	Geodermatophilaceae	#FDBF6F	#000000	#FDBF6F	#000000	0.3	1	#000000	#000000
Bacteria	Mycobacteriaceae	#E31A1C	#000000	#E31A1C	#000000	0.3	1	#000000	#000000
Bacteria	Moraxellaceae	#6A3D9A	#000000	#97D400	#000000	0.3	1	#000000	#000000
Bacteria	Polyangiaceae	#CAB2D6	#000000	#CAB2D6	#000000	0.3	1	#000000	#000000
Bacteria	Acetobacteraceae	#FF7F00	#000000	#FF7F00	#000000	0.3	1	#000000	#000000
Bacteria	Nocardiaceae	#FFFF99	#000000	#FFFF99	#000000	0.3	1	#000000	#000000
Bacteria	Pseudonocardiaceae	#A6CEE3	#000000	#A6CEE3	#000000	0.3	1	#000000	#000000
Bacteria	Methylophilaceae	#7FC97F	#000000	#7FC97F	#000000	0.3	1	#000000	#000000
Bacteria	Micrococcaceae	#BEAED4	#000000	#BEAED4	#000000	0.3	1	#000000	#000000
Bacteria	Rhodobacteraceae	#FDC086	#000000	#FDC086	#000000	0.3	1	#000000	#000000
Bacteria	Streptomycetaceae	#FFFF99	#000000	#FFFF99	#000000	0.3	1	#000000	#000000
Bacteria	Nannocystaceae	#386CB0	#000000	#386CB0	#000000	0.3	1	#000000	#000000
Bacteria	Propionibacteriaceae	#F0027F	#000000	#F0027F	#000000	0.3	1	#000000	#000000
Bacteria	Phyllobacteriaceae	#BF5B17	#000000	#BF5B17	#000000	0.3	1	#000000	#000000
Bacteria	Burkholderiaceae	#666666	#000000	#666666	#000000	0.3	1	#000000	#000000
Bacteria	Verrucomicrobiaceae	#1B9E77	#000000	#1B9E77	#000000	0.3	1	#000000	#000000
