experiment	group	sample	per30uL	per1.92cm2	CFU_cm2
infiltration	10exp4	1	32	320	166.67
infiltration	10exp4	2	20	200	104.17
infiltration	10exp4	3	43	430	223.96
infiltration	10exp4	4	43	430	223.96
infiltration	10exp5	1	160	1600	833.33
infiltration	10exp5	2	290	2900	1510.42
infiltration	10exp5	3	270	2700	1406.25
infiltration	10exp5	4	370	3700	1927.08
infiltration	10exp6	1	4800	48000	25000
infiltration	10exp6	2	3000	30000	15625
infiltration	10exp6	3	2300	23000	11979.17
infiltration	10exp6	4	3900	39000	20312.5
infiltration	10exp7	1	34000	340000	177083.33
infiltration	10exp7	2	22000	220000	114583.33
infiltration	10exp7	3	31000	310000	161458.33
infiltration	10exp7	4	28000	280000	145833.33
infiltration	10exp8	1	420000	4200000	2187500
infiltration	10exp8	2	270000	2700000	1406250
infiltration	10exp8	3	370000	3700000	1927083.33
infiltration	10exp8	4	330000	3300000	1718750
growth_curve	0dpi	1	43	430	279.22
growth_curve	0dpi	2	27	270	175.32
growth_curve	0dpi	3	70	700	454.55
growth_curve	0dpi	4	48	480	311.69
growth_curve	0dpi	5	29	290	188.31
growth_curve	0dpi	6	53	530	344.16
growth_curve	2dpi	1	910	9100	5909.09
growth_curve	2dpi	2	1680	16800	10909.09
growth_curve	2dpi	3	1300	13000	8441.56
growth_curve	2dpi	4	410	4100	2662.34
growth_curve	2dpi	5	570	5700	3701.3
growth_curve	2dpi	6	1250	12500	8116.88
growth_curve	4dpi	1	105000	1050000	681818.18
growth_curve	4dpi	2	128000	1280000	831168.83
growth_curve	4dpi	3	78000	780000	506493.51
growth_curve	4dpi	4	97000	970000	629870.13
growth_curve	4dpi	5	92000	920000	597402.6
growth_curve	4dpi	6	127000	1270000	824675.32
growth_curve	7dpi	1	2390000	23900000	15519480.52
growth_curve	7dpi	2	1740000	17400000	11298701.3
growth_curve	7dpi	3	1700000	17000000	11038961.04
growth_curve	7dpi	4	2050000	20500000	13311688.31
growth_curve	7dpi	5	2620000	26200000	17012987.01
growth_curve	7dpi	6	3730000	37300000	24220779.22
growth_curve	9dpi	1	3400000	34000000	22077922.08
growth_curve	9dpi	2	7800000	78000000	50649350.65
growth_curve	9dpi	3	5200000	52000000	33766233.77
growth_curve	9dpi	4	4100000	41000000	26623376.62
growth_curve	9dpi	5	3100000	31000000	20129870.13
growth_curve	9dpi	6	9800000	98000000	63636363.64
growth_curve	11dpi	1	10700000	107000000	69480519.48
growth_curve	11dpi	2	19600000	196000000	127272727.3
growth_curve	11dpi	3	6500000	65000000	42207792.21
growth_curve	11dpi	4	11700000	117000000	75974025.97
growth_curve	11dpi	5	17600000	176000000	114285714.3
growth_curve	11dpi	6	28500000	285000000	185064935.1
