experiment	sample	primer	cq
growth_curve	11dpi.1	xopQ	17.72980755
growth_curve	7dpi.5	xopQ	19.38140682
growth_curve	0dpi.3	xopQ	38.04161583
growth_curve	11dpi.1	UBI3	24.55233145
growth_curve	7dpi.5	UBI3	23.60381754
growth_curve	0dpi.3	UBI3	21.90725066
growth_curve	9dpi.3	xopQ	18.0611856
growth_curve	2dpi.1	xopQ	34.21485927
growth_curve	9dpi.3	UBI3	23.20715775
growth_curve	2dpi.1	UBI3	23.64168612
growth_curve	11dpi.2	xopQ	16.54071932
growth_curve	7dpi.6	xopQ	18.95780818
growth_curve	0dpi.4	xopQ	37.88185029
growth_curve	11dpi.2	UBI3	23.58560002
growth_curve	7dpi.6	UBI3	23.59857874
growth_curve	0dpi.4	UBI3	21.42024915
growth_curve	9dpi.4	xopQ	19.30567425
growth_curve	2dpi.2	xopQ	33.32228343
growth_curve	9dpi.4	UBI3	24.98782411
growth_curve	2dpi.2	UBI3	22.73281708
growth_curve	11dpi.3	xopQ	16.69310539
growth_curve	4dpi.1	xopQ	25.43308062
growth_curve	0dpi.5	xopQ	37.3027031
growth_curve	11dpi.3	UBI3	22.17661187
growth_curve	4dpi.1	UBI3	22.18370398
growth_curve	0dpi.5	UBI3	21.49981974
growth_curve	9dpi.5	xopQ	17.10103495
growth_curve	2dpi.3	xopQ	34.53412409
growth_curve	9dpi.5	UBI3	23.12863843
growth_curve	2dpi.3	UBI3	24.28562094
growth_curve	11dpi.4	xopQ	17.21127796
growth_curve	4dpi.2	xopQ	24.81241252
growth_curve	0dpi.6	xopQ	36.41632266
growth_curve	11dpi.4	UBI3	23.03061388
growth_curve	4dpi.2	UBI3	23.63202363
growth_curve	0dpi.6	UBI3	21.34288209
growth_curve	9dpi.6	xopQ	16.65139207
growth_curve	2dpi.4	xopQ	34.98425805
growth_curve	9dpi.6	UBI3	23.79577171
growth_curve	2dpi.4	UBI3	23.35915521
growth_curve	11dpi.5	xopQ	16.50098615
growth_curve	4dpi.3	xopQ	26.17596507
growth_curve	11dpi.5	UBI3	22.76306818
growth_curve	4dpi.3	UBI3	23.41567366
growth_curve	7dpi.1	xopQ	22.563175
growth_curve	2dpi.5	xopQ	34.21610588
growth_curve	7dpi.1	UBI3	26.81058256
growth_curve	2dpi.5	UBI3	22.98466958
growth_curve	4dpi.4	xopQ	25.7103246
growth_curve	11dpi.6	UBI3	23.93424801
growth_curve	4dpi.4	UBI3	23.29831951
growth_curve	7dpi.2	xopQ	21.66662533
growth_curve	2dpi.6	xopQ	34.64753744
growth_curve	7dpi.2	UBI3	27.22860559
growth_curve	2dpi.6	UBI3	25.11733962
growth_curve	9dpi.1	xopQ	20.44839387
growth_curve	4dpi.5	xopQ	26.38542575
growth_curve	9dpi.1	UBI3	25.24242423
growth_curve	4dpi.5	UBI3	24.46655297
growth_curve	7dpi.3	xopQ	20.73352709
growth_curve	0dpi.1	xopQ	35.61841151
growth_curve	7dpi.3	UBI3	23.92646101
growth_curve	0dpi.1	UBI3	22.50377972
growth_curve	4dpi.6	xopQ	27.099452
growth_curve	9dpi.2	UBI3	23.01655575
growth_curve	4dpi.6	UBI3	24.91846088
growth_curve	0dpi.2	xopQ	35.66618407
growth_curve	7dpi.4	UBI3	25.28082934
growth_curve	0dpi.2	UBI3	23.04192762
growth_curve	11dpi.1	xopQ	17.58154988
growth_curve	7dpi.5	xopQ	19.81877019
growth_curve	0dpi.3	xopQ	37.47877773
growth_curve	11dpi.1	UBI3	24.17265757
growth_curve	7dpi.5	UBI3	24.36038643
growth_curve	0dpi.3	UBI3	22.02999051
growth_curve	11dpi.1	xopQ	18.07740882
growth_curve	7dpi.5	xopQ	20.28409009
growth_curve	0dpi.3	xopQ	38.49162898
growth_curve	11dpi.1	UBI3	24.89542244
growth_curve	7dpi.5	UBI3	22.79488279
growth_curve	0dpi.3	UBI3	22.05738417
growth_curve	9dpi.3	xopQ	18.63497877
growth_curve	2dpi.1	xopQ	34.54230602
growth_curve	9dpi.3	UBI3	23.36144749
growth_curve	2dpi.1	UBI3	23.41618701
growth_curve	9dpi.3	xopQ	18.03427482
growth_curve	2dpi.1	xopQ	34.4547782
growth_curve	9dpi.3	UBI3	23.63459682
growth_curve	2dpi.1	UBI3	23.8217228
growth_curve	11dpi.2	xopQ	16.93692606
growth_curve	7dpi.6	xopQ	19.14800716
growth_curve	0dpi.4	xopQ	38.57582016
growth_curve	11dpi.2	UBI3	23.3571262
growth_curve	7dpi.6	UBI3	23.67113754
growth_curve	0dpi.4	UBI3	21.47539731
growth_curve	11dpi.2	xopQ	16.46303591
growth_curve	7dpi.6	xopQ	18.41472072
growth_curve	0dpi.4	xopQ	37.22870829
growth_curve	11dpi.2	UBI3	23.27906783
growth_curve	7dpi.6	UBI3	23.66920296
growth_curve	0dpi.4	UBI3	21.44721269
growth_curve	9dpi.4	xopQ	19.56325481
growth_curve	2dpi.2	xopQ	33.47971185
growth_curve	9dpi.4	UBI3	24.92770682
growth_curve	2dpi.2	UBI3	22.64660635
growth_curve	9dpi.4	xopQ	19.35352067
growth_curve	2dpi.2	xopQ	33.22982128
growth_curve	9dpi.4	UBI3	24.84560569
growth_curve	2dpi.2	UBI3	22.67648874
growth_curve	11dpi.3	xopQ	16.81079653
growth_curve	4dpi.1	xopQ	25.63895744
growth_curve	0dpi.5	xopQ	37.82307802
growth_curve	11dpi.3	UBI3	22.25370175
growth_curve	4dpi.1	UBI3	22.23231604
growth_curve	0dpi.5	UBI3	21.41374931
growth_curve	11dpi.3	xopQ	17.55336897
growth_curve	4dpi.1	xopQ	25.29444492
growth_curve	0dpi.5	xopQ	37.03089363
growth_curve	11dpi.3	UBI3	22.13299676
growth_curve	4dpi.1	UBI3	22.17368974
growth_curve	0dpi.5	UBI3	21.53016188
growth_curve	9dpi.5	xopQ	17.20694633
growth_curve	2dpi.3	xopQ	33.94562556
growth_curve	9dpi.5	UBI3	23.24244947
growth_curve	2dpi.3	UBI3	24.04664939
growth_curve	9dpi.5	xopQ	17.48786013
growth_curve	2dpi.3	xopQ	34.0577365
growth_curve	9dpi.5	UBI3	23.13591372
growth_curve	2dpi.3	UBI3	24.23634105
growth_curve	11dpi.4	xopQ	17.48751208
growth_curve	4dpi.2	xopQ	24.6669747
growth_curve	0dpi.6	xopQ	36.32277663
growth_curve	11dpi.4	UBI3	23.20142363
growth_curve	4dpi.2	UBI3	23.5151655
growth_curve	0dpi.6	UBI3	21.38174951
growth_curve	11dpi.4	xopQ	17.12742
growth_curve	4dpi.2	xopQ	24.46405009
growth_curve	0dpi.6	xopQ	36.14779416
growth_curve	11dpi.4	UBI3	23.20049214
growth_curve	4dpi.2	UBI3	23.22832993
growth_curve	0dpi.6	UBI3	21.3444143
growth_curve	9dpi.6	xopQ	16.86956087
growth_curve	2dpi.4	xopQ	35.02698893
growth_curve	9dpi.6	UBI3	24.08208575
growth_curve	2dpi.4	UBI3	23.73630332
growth_curve	9dpi.6	xopQ	16.86427148
growth_curve	2dpi.4	xopQ	34.63417689
growth_curve	9dpi.6	UBI3	23.91907866
growth_curve	2dpi.4	UBI3	23.77399667
growth_curve	11dpi.5	xopQ	16.68781071
growth_curve	4dpi.3	xopQ	26.22719407
growth_curve	11dpi.5	UBI3	22.84697044
growth_curve	4dpi.3	UBI3	23.30129541
growth_curve	11dpi.5	xopQ	15.85881148
growth_curve	4dpi.3	xopQ	25.7215783
growth_curve	11dpi.5	UBI3	22.60215856
growth_curve	4dpi.3	UBI3	23.0942575
growth_curve	7dpi.1	xopQ	22.78061228
growth_curve	2dpi.5	xopQ	33.92989654
growth_curve	7dpi.1	UBI3	26.71379053
growth_curve	2dpi.5	UBI3	22.99900938
growth_curve	7dpi.1	xopQ	22.59329996
growth_curve	2dpi.5	xopQ	33.9628377
growth_curve	7dpi.1	UBI3	26.20963099
growth_curve	2dpi.5	UBI3	22.81305483
growth_curve	4dpi.4	xopQ	25.45534391
growth_curve	11dpi.6	UBI3	24.06910578
growth_curve	4dpi.4	UBI3	23.31389361
growth_curve	11dpi.6	xopQ	15.74139673
growth_curve	4dpi.4	xopQ	25.01909813
growth_curve	11dpi.6	UBI3	23.97295107
growth_curve	4dpi.4	UBI3	23.24290314
growth_curve	7dpi.2	xopQ	25.77998164
growth_curve	2dpi.6	xopQ	34.40824276
growth_curve	7dpi.2	UBI3	27.29858306
growth_curve	2dpi.6	UBI3	25.02570841
growth_curve	7dpi.2	xopQ	22.76316999
growth_curve	2dpi.6	xopQ	34.79302054
growth_curve	7dpi.2	UBI3	27.19784843
growth_curve	2dpi.6	UBI3	24.98400185
growth_curve	9dpi.1	xopQ	19.64423799
growth_curve	4dpi.5	xopQ	26.50981192
growth_curve	9dpi.1	UBI3	25.14540189
growth_curve	4dpi.5	UBI3	24.49452976
growth_curve	9dpi.1	xopQ	20.52779416
growth_curve	4dpi.5	xopQ	26.40273839
growth_curve	9dpi.1	UBI3	25.22318939
growth_curve	4dpi.5	UBI3	24.55852802
growth_curve	7dpi.3	xopQ	20.24536921
growth_curve	0dpi.1	xopQ	36.06651381
growth_curve	7dpi.3	UBI3	24.05026488
growth_curve	0dpi.1	UBI3	22.04446678
growth_curve	7dpi.3	xopQ	20.38660628
growth_curve	0dpi.1	xopQ	36.19442908
growth_curve	7dpi.3	UBI3	23.90622503
growth_curve	0dpi.1	UBI3	21.93233707
growth_curve	9dpi.2	xopQ	16.21212156
growth_curve	4dpi.6	xopQ	27.00656896
growth_curve	9dpi.2	UBI3	23.00685108
growth_curve	4dpi.6	UBI3	25.24198996
growth_curve	9dpi.2	xopQ	17.10048333
growth_curve	4dpi.6	xopQ	27.0787306
growth_curve	9dpi.2	UBI3	23.07252822
growth_curve	4dpi.6	UBI3	24.98652682
growth_curve	7dpi.4	xopQ	21.23547628
growth_curve	0dpi.2	xopQ	34.30949003
growth_curve	7dpi.4	UBI3	25.21254181
growth_curve	0dpi.2	UBI3	22.18468372
growth_curve	7dpi.4	xopQ	21.84017131
growth_curve	0dpi.2	xopQ	37.97121808
growth_curve	7dpi.4	UBI3	25.14944202
growth_curve	0dpi.2	UBI3	22.20522585
infiltration	10inf4.1	xopQ	35.40755441
infiltration	10inf5.4	xopQ	33.95121445
infiltration	10inf4.1	UBI3	21.9047216
infiltration	10inf5.4	UBI3	21.48528049
infiltration	10inf5.1	xopQ	32.75285956
infiltration	10inf6.4	xopQ	33.76643715
infiltration	10inf5.1	UBI3	21.51768671
infiltration	10inf6.4	UBI3	20.8263862
infiltration	10inf6.1	xopQ	29.41397262
infiltration	10inf7.4	xopQ	25.25016591
infiltration	10inf6.1	UBI3	21.19297495
infiltration	10inf7.4	UBI3	21.00833178
infiltration	10inf7.1	xopQ	26.67504654
infiltration	10inf8.4	xopQ	20.23862582
infiltration	10inf7.1	UBI3	22.02749335
infiltration	10inf8.4	UBI3	20.36908913
infiltration	10inf8.1	xopQ	22.01707254
infiltration	10inf8.1	UBI3	21.08630291
infiltration	10inf4.2	xopQ	32.87959498
infiltration	10inf4.2	UBI3	20.51030081
infiltration	10inf5.2	xopQ	31.64636486
infiltration	10inf5.2	UBI3	20.96505832
infiltration	10inf6.2	xopQ	28.54771812
infiltration	10inf6.2	UBI3	21.13423921
infiltration	10inf7.2	xopQ	24.32848625
infiltration	10inf7.2	UBI3	20.60904315
infiltration	10inf8.2	xopQ	20.53149158
infiltration	10inf8.2	UBI3	20.26335091
infiltration	10inf4.3	xopQ	34.12342089
infiltration	10inf4.3	UBI3	21.19903719
infiltration	10inf5.3	xopQ	32.51496553
infiltration	10inf5.3	UBI3	20.58650747
infiltration	10inf6.3	xopQ	29.42886557
infiltration	10inf6.3	UBI3	20.12846358
infiltration	10inf7.3	xopQ	25.42597827
infiltration	10inf7.3	UBI3	21.05818976
infiltration	10inf8.3	xopQ	20.5907156
infiltration	10inf8.3	UBI3	22.11931228
infiltration	10inf4.4	xopQ	35.6844684
infiltration	10inf4.4	UBI3	21.01289431
infiltration	10inf4.1	xopQ	34.23057319
infiltration	10inf5.4	xopQ	34.12379831
infiltration	10inf4.1	UBI3	21.588005
infiltration	10inf5.4	UBI3	21.2793469
infiltration	10inf4.1	xopQ	34.62104332
infiltration	10inf5.4	xopQ	33.89280331
infiltration	10inf4.1	UBI3	21.14630289
infiltration	10inf5.4	UBI3	21.01769539
infiltration	10inf5.1	xopQ	32.37779684
infiltration	10inf6.4	xopQ	30.16943084
infiltration	10inf5.1	UBI3	21.15729146
infiltration	10inf6.4	UBI3	20.94253309
infiltration	10inf5.1	xopQ	32.37838087
infiltration	10inf6.4	xopQ	30.13702692
infiltration	10inf5.1	UBI3	21.31249795
infiltration	10inf6.4	UBI3	20.84471594
infiltration	10inf6.1	xopQ	29.304594
infiltration	10inf7.4	xopQ	25.15625517
infiltration	10inf6.1	UBI3	21.30919049
infiltration	10inf7.4	UBI3	20.96897637
infiltration	10inf6.1	xopQ	29.5146029
infiltration	10inf7.4	xopQ	24.81627098
infiltration	10inf6.1	UBI3	21.20885701
infiltration	10inf7.4	UBI3	21.01419137
infiltration	10inf7.1	xopQ	26.57702171
infiltration	10inf8.4	xopQ	20.52046053
infiltration	10inf7.1	UBI3	22.16639233
infiltration	10inf8.4	UBI3	20.2089819
infiltration	10inf7.1	xopQ	26.13023821
infiltration	10inf8.4	xopQ	20.49284716
infiltration	10inf7.1	UBI3	22.30649883
infiltration	10inf8.4	UBI3	20.22680061
infiltration	10inf8.1	xopQ	21.06393838
infiltration	10inf8.1	UBI3	20.3512741
infiltration	10inf8.1	xopQ	21.10220445
infiltration	10inf8.1	UBI3	20.63329734
infiltration	10inf4.2	xopQ	32.6576178
infiltration	10inf4.2	UBI3	20.57254062
infiltration	10inf4.2	xopQ	32.15263763
infiltration	10inf4.2	UBI3	20.63272769
infiltration	10inf5.2	xopQ	31.56645036
infiltration	10inf5.2	UBI3	20.49964377
infiltration	10inf5.2	xopQ	31.2957984
infiltration	10inf5.2	UBI3	20.51561176
infiltration	10inf6.2	xopQ	28.48461933
infiltration	10inf6.2	UBI3	21.02471716
infiltration	10inf6.2	xopQ	28.75506744
infiltration	10inf6.2	UBI3	21.06215084
infiltration	10inf7.2	xopQ	24.26259263
infiltration	10inf7.2	UBI3	20.62740203
infiltration	10inf7.2	xopQ	24.34313362
infiltration	10inf7.2	UBI3	20.94120068
infiltration	10inf8.2	xopQ	20.19319424
infiltration	10inf8.2	UBI3	20.31450417
infiltration	10inf8.2	xopQ	20.62273253
infiltration	10inf8.2	UBI3	20.45654216
infiltration	10inf4.3	xopQ	33.83442878
infiltration	10inf4.3	UBI3	21.12098266
infiltration	10inf4.3	xopQ	33.90169519
infiltration	10inf4.3	UBI3	21.10426078
infiltration	10inf5.3	xopQ	32.02529619
