Sample_name	ENA_Accession	Lane	Barcode	Primer_code	ASV_table	Tagging_primers1	Tagging_primers2	Tagging_primers3	Abbreviated_description	Long_description	custom_scripts_ID
R168L1BC1_V4GI502	ERS4560487	L1	BC1	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_E100_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, pure E.coli	TitRep1_E100_L1
R168L1BC2_V4GI502	ERS4560488	L1	BC2	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_M100_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, mixed bacteria	TitRep1_M100_L1
R168L1BC3_V4GI502	ERS4560489	L1	BC3	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_24_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 76% plant 24% mixed bacteria	TitRep1_24_L1
R168L1BC4_V4GI502	ERS4560490	L1	BC4	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_20_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 80% plant 20% mixed bacteria	TitRep1_20_L1
R168L1BC5_V4GI502	ERS4560491	L1	BC5	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_16_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 84% plant 16% mixed bacteria	TitRep1_16_L1
R168L1BC6_V4GI502	ERS4560492	L1	BC6	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_8_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 92% plant 8% mixed bacteria	TitRep1_8_L1
R168L1BC7_V4GI502	ERS4560493	L1	BC7	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_4_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 96% plant 4% mixed bacteria	TitRep1_4_L1
R168L1BC8_V4GI502	ERS4560494	L1	BC8	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_2_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 98% plant 2% mixed bacteria	TitRep1_2_L1
R168L1BC9_V4GI502	ERS4560495	L1	BC9	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_1_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 99% plant 1% mixed bacteria	TitRep1_1_L1
R168L1BC10_V4GI502	ERS4560496	L1	BC10	V4GI502	R168_zOtutab	515_F1_G-46603; 799_R1_G-46601	At.GI_F1_G-46602; At.GI_R502bp_G-46614	NA	STP_Rep1_0.5_remix	Remixed Pooled Libraries: Synthetic Titration Panel Replicate 1, 99.5% plant 0.5% mixed bacteria	TitRep1_0.5_L1
